object_id,object_type,classification,reason,authoritative_fact_ids
CONTRACT-1001,policy_contract,current_authoritative,Current production object carrying mapped policy evidence.,authorized_actions_are_closed_scope;cancelled_orders_have_no_further_action;cannot_modify_or_cancel_shipped_order;customer_information_lookup_allowed;pending_items_modified_status_meaning;processed_orders_wait_until_delivered
CONTRACT-1002,policy_contract,current_authoritative,Current production object carrying mapped policy evidence.,cancellation_reason_values_are_closed_and_exact;optional_order_fields_are_closed;order_status_values_are_closed_and_exact
CONTRACT-1003,policy_contract,current_authoritative,Current production object carrying mapped policy evidence.,pending_item_modification_adds_no_fields
CONTRACT-3001,policy_contract,current_policy_neutral,Current production configuration with no retail policy ownership.,
CONTRACT-3002,policy_contract,current_policy_neutral,Current production configuration with no retail policy ownership.,
CONTRACT-4001,policy_contract,legacy,Disabled historical configuration retained for audit.,
CONTRACT-5001,policy_contract,draft,Unpublished sandbox configuration.,
CONTRACT-6001,policy_contract,archived,Non-production migration material.,
FLD-STATUS-01,field_row,current_authoritative,Current production object carrying mapped policy evidence.,order_status_values_are_closed_and_exact;pending_status_meaning
FLD-STATUS-02,field_row,current_authoritative,Current production object carrying mapped policy evidence.,order_status_values_are_closed_and_exact;processed_status_meaning
FLD-STATUS-03,field_row,current_authoritative,Current production object carrying mapped policy evidence.,delivered_status_meaning;order_status_values_are_closed_and_exact
FLD-STATUS-04,field_row,current_authoritative,Current production object carrying mapped policy evidence.,cancelled_status_meaning;order_status_values_are_closed_and_exact
FLD-STATUS-05,field_row,current_authoritative,Current production object carrying mapped policy evidence.,order_status_values_are_closed_and_exact;pending_items_modified_status_meaning
FLD-STATUS-06,field_row,current_authoritative,Current production object carrying mapped policy evidence.,order_status_values_are_closed_and_exact;return_requested_status_meaning
FLD-STATUS-07,field_row,current_authoritative,Current production object carrying mapped policy evidence.,exchange_requested_status_meaning;order_status_values_are_closed_and_exact
FLD-CANCEL-01,field_row,current_authoritative,Current production object carrying mapped policy evidence.,cancellation_reason_values_are_closed_and_exact
FLD-CANCEL-02,field_row,current_authoritative,Current production object carrying mapped policy evidence.,cancellation_reason_values_are_closed_and_exact
FLD-OPT-01,field_row,current_authoritative,Current production object carrying mapped policy evidence.,cancelled_order_optional_field;optional_order_fields_are_closed
FLD-OPT-02,field_row,current_authoritative,Current production object carrying mapped policy evidence.,optional_order_fields_are_closed;return_optional_fields
FLD-OPT-03,field_row,current_authoritative,Current production object carrying mapped policy evidence.,optional_order_fields_are_closed;return_optional_fields
FLD-OPT-04,field_row,current_authoritative,Current production object carrying mapped policy evidence.,exchange_optional_fields;optional_order_fields_are_closed
FLD-OPT-05,field_row,current_authoritative,Current production object carrying mapped policy evidence.,exchange_optional_fields;optional_order_fields_are_closed
FLD-OPT-06,field_row,current_authoritative,Current production object carrying mapped policy evidence.,exchange_optional_fields;optional_order_fields_are_closed
FLD-OPT-07,field_row,current_authoritative,Current production object carrying mapped policy evidence.,exchange_optional_fields;optional_order_fields_are_closed
FLD-SYSTEM-01,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-SYSTEM-02,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-SYSTEM-03,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-SYSTEM-04,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-SYSTEM-05,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-01,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-02,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-03,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-04,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-05,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-06,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-07,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-08,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-09,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-10,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-11,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-12,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-13,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-14,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-15,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-16,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-17,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-18,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-19,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-NEUTRAL-20,field_row,current_policy_neutral,Current production configuration with no retail policy ownership.,
FLD-LEGACY-01,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-02,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-03,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-04,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-05,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-06,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-LEGACY-07,field_row,legacy,Disabled historical configuration retained for audit.,
FLD-DRAFT-01,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-02,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-03,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-04,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-05,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-06,field_row,draft,Unpublished sandbox configuration.,
FLD-DRAFT-07,field_row,draft,Unpublished sandbox configuration.,
SLA-001,sla_policy,legacy,Disabled historical configuration retained for audit.,
SLA-002,sla_policy,legacy,Disabled historical configuration retained for audit.,
SLA-003,sla_policy,legacy,Disabled historical configuration retained for audit.,
SLA-004,sla_policy,legacy,Disabled historical configuration retained for audit.,
SLA-005,sla_policy,draft,Unpublished sandbox configuration.,
SLA-006,sla_policy,draft,Unpublished sandbox configuration.,
VIEW-001,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-002,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-003,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-004,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-005,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-006,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-007,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-008,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-009,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-010,view,current_policy_neutral,Current production configuration with no retail policy ownership.,
VIEW-011,view,legacy,Disabled historical configuration retained for audit.,
VIEW-012,view,legacy,Disabled historical configuration retained for audit.,
